    ozono     grupo      temp
     2.88         1        68
     2.62         1        58
     3.11         1        70
     2.22         1        66
     2.62         1        67
     2.67         1        59
     3.24         1        66
     1.59         1        61
     2.35         1        64
     2.62         1        62
     2.22         1        62
     2.71         1        68
     1.82         1        57
     3.11         1        68
     3.45         1        67
     2.52         1        69
     2.71         1        65
     1.91         1        69
     2.41         1        63
     3.17         1        61
        1         1        59
     2.84         1        65
        2         1        61
     2.41         1        64
     2.84         1        67
     2.41         1        68
     3.33         2        72
     2.76         2        77
     2.76         2        75
     2.76         2        76
     2.84         2        78
     2.35         2        76
     3.33         2        76
     2.08         2        71
     2.29         2        74
     2.84         2        76
     2.08         2        72
     2.52         2        74
     3.58         2        78
     2.84         2        71
     2.35         2        71
     2.15         2        73
     2.62         2        76
     2.41         2        75
     2.76         2        77
     3.53         2        78
     3.14         2        78
     2.22         2        73
     3.04         2        77
      2.8         2        77
     2.35         2        76
      3.3         2        72
     2.29         2        73
     2.88         2        73
     2.52         3        82
     2.08         3        81
     3.39         3        81
     3.89         3        81
        4         3        83
     2.84         3        82
     2.71         3        82
      3.3         3        81
     3.53         3        81
     2.52         3        82
     3.07         3        82
     3.94         3        84
     3.27         3        82
     3.63         3        81
     2.71         3        80
     3.17         3        84
        3         3        81
     3.56         3        81
     3.56         3        79
     3.42         3        83
        4         3        83
     3.17         3        81
     3.89         3        79
     4.02         3        80
     5.13         3        84
     3.04         3        82
     4.96         4        89
     3.68         4        86
     4.34         4        88
     3.73         4        86
     3.39         4        87
     4.76         4        85
     4.31         4        86
     4.14         4        90
     3.98         4        85
     4.29         4        87
     3.61         4        87
      4.5         4        93
     4.18         4        93
     4.27         4        92
      4.4         4        89
     4.58         4        91
      4.4         4        94
     4.59         4        92
     4.38         4        96
      4.9         4        94
     4.59         4        92
     4.24         4        97
     4.18         4        86
     4.25         4        88
     3.66         4        85
     3.53         4        86
     4.79         4        90
     4.46         4        90
